route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,exceptional
016,0#20,0#528-13,"MONTI S. PAOLO/CONFORTI","24254539",1,"",63043,0,0
016,0#20,0#528-14,"ANTIFANE/ISOLA 46","24254532",0,"",63042,0,0
016,0#20,0#528-15,"MONTI S. PAOLO/CONFORTI","24254540",1,"",63043,0,0
016,0#20,0#528-16,"ANTIFANE/ISOLA 46","24254533",0,"",63042,0,0
016,0#20,0#528-17,"MONTI S. PAOLO/CONFORTI","24254541",1,"",63043,0,0
016,0#15,0#529-2,"ANTIFANE/ISOLA 46","24254412",0,"",63042,0,0
016,0#15,0#529-3,"MONTI S. PAOLO/CONFORTI","24254402",1,"",63043,0,0
016,0#15,0#529-4,"ANTIFANE/ISOLA 46","24254413",0,"",63042,0,0
016,0#15,0#529-5,"MONTI S. PAOLO/CONFORTI","24254403",1,"",63043,0,0
016,0#15,0#529-6,"ANTIFANE/ISOLA 46","24254393",0,"",63042,0,0
016,0#15,0#529-7,"MONTI S. PAOLO/CONFORTI","24254404",1,"",63043,0,0
016,0#15,0#529-8,"ANTIFANE/ISOLA 46","24254394",0,"",63042,0,0
016,0#15,0#529-9,"MONTI S. PAOLO/CONFORTI","24254405",1,"",63043,0,0
016,0#15,0#529-10,"ANTIFANE/ISOLA 46","24254395",0,"",63042,0,0
016,0#15,0#529-11,"MONTI S. PAOLO/CONFORTI","24254406",1,"",63043,0,0
016,0#15,0#529-12,"ANTIFANE/ISOLA 46","24254396",0,"",63042,0,0
016,0#15,0#529-13,"MONTI S. PAOLO/CONFORTI","24254407",1,"",63043,0,0
016,0#15,0#529-14,"ANTIFANE/ISOLA 46","24254397",0,"",63042,0,0
016,0#15,0#529-15,"MONTI S. PAOLO/CONFORTI","24254408",1,"",63043,0,0
016,0#15,0#529-16,"ANTIFANE/ISOLA 46","24254398",0,"",63042,0,0
016,0#15,0#529-17,"MONTI S. PAOLO/CONFORTI","24254409",1,"",63043,0,0
016,0#15,0#529-18,"ANTIFANE/ISOLA 46","24254399",0,"",63042,0,0
016,0#15,0#529-19,"MONTI S. PAOLO/CONFORTI","24254410",1,"",63043,0,0
016,0#15,0#529-20,"ANTIFANE/ISOLA 46","24254400",0,"",63042,0,0
016,0#15,0#529-21,"MONTI S. PAOLO/CONFORTI","24254411",1,"",63043,0,0
016,0#15,0#529-22,"ANTIFANE/ISOLA 46","24254401",0,"",63042,0,0
016,0#20,0#530-2,"ANTIFANE/ISOLA 46","24254543",0,"",63042,0,0
016,0#20,0#530-3,"MONTI S. PAOLO/CONFORTI","24254554",1,"",63043,0,0
016,0#20,0#530-4,"ANTIFANE/ISOLA 46","24254544",0,"",63042,0,0
016,0#20,0#530-5,"MONTI S. PAOLO/CONFORTI","24254555",1,"",63043,0,0
016,0#20,0#530-6,"ANTIFANE/ISOLA 46","24254545",0,"",63042,0,0
016,0#20,0#530-7,"MONTI S. PAOLO/CONFORTI","24254556",1,"",63043,0,0
016,0#20,0#530-8,"ANTIFANE/ISOLA 46","24254546",0,"",63042,0,0
016,0#20,0#530-9,"MONTI S. PAOLO/CONFORTI","24254557",1,"",63043,0,0
016,0#20,0#530-10,"ANTIFANE/ISOLA 46","24254547",0,"",63042,0,0
016,0#20,0#530-11,"MONTI S. PAOLO/CONFORTI","24254558",1,"",63043,0,0
016,0#20,0#530-12,"ANTIFANE/ISOLA 46","24254548",0,"",63042,0,0
016,0#20,0#530-13,"MONTI S. PAOLO/CONFORTI","24254559",1,"",63043,0,0
016,0#20,0#530-14,"ANTIFANE/ISOLA 46","24254549",0,"",63042,0,0
016,0#20,0#530-15,"MONTI S. PAOLO/CONFORTI","24254560",1,"",63043,0,0
